latitude,longitude,Client/Provider,Client Name
32.091821,34.773057,Client,E
32.068993,34.782176,Client,E
32.069815,34.795398,Client,E
32.067507,34.768924,Client,E
32.0625,34.781,Client,E
32.06119,34.78355,Client,E
32.114591,34.791377,Client,E
32.058597,34.8004,Client,E
32.055719,34.756039,Client,E
32.050298,34.757023,Client,E
32.087613,34.784496,Client,E
32.085268,34.777064,Client,E
32.095524,34.773635,Client,E
32.09478,34.79728,Client,E
32.069981,34.763805,Client,E
32.076339,34.78686,Client,E
32.075637,34.766552,Client,E
32.0755,34.8014,Client,E
32.119821,34.821159,Client,E
32.116782,34.843358,Client,E
32.0849,34.7966,Client,E
32.05473,34.77016,Client,E
32.05695,34.79943,Client,E
32.05153,34.78679,Client,E
32.10567,34.81927,Client,E
32.05333,34.80991,Client,E
32.11359,34.81627,Client,E
32.12336,34.80272,Client,E
32.11289,34.81898,Client,E
32.04428,34.8075,Client,E
32.1082,34.83111,Client,E
32.11558,34.82712,Client,E
32.04233,34.74895,Client,E
32.11697,34.82896,Client,E
32.03763,34.747,Client,E
32.03942,34.76052,Client,E
32.083175,34.776552,Client,E
32.080102,34.785962,Client,E
32.0809,34.7887,Client,E
32.079221,34.788357,Client,E
32.0882,34.7714,Client,E
32.072,34.7911,Client,E
32.1017,34.7917,Client,E
32.1049,34.7892,Client,E
32.057609,34.7643,Provider,
32.114,34.8188,Provider,
32.106567,34.832598,Provider,
32.110506,34.83111,Provider,
32.079825,34.77445,Provider,
32.067037,34.767475,Provider,
32.055602,34.783771,Provider,
32.111722,34.816493,Provider,
32.086521,34.779746,Provider,
32.107158,34.802274,Provider,
32.08616,34.76973,Provider,
32.07115,34.76941,Provider,
32.06146,34.80639,Provider,
32.05462,34.76836,Provider,
32.0557,34.79705,Provider,
32.0549,34.75483,Provider,
32.04779,34.77621,Provider,
32.11453,34.81352,Provider,
32.12681,34.80879,Provider,
32.11507,34.83545,Provider,
32.12229,34.83655,Provider,
32.090151,34.783455,Provider,
32.087199,34.772954,Provider,
32.074877,34.773515,Provider,
32.077521,34.769002,Provider,
32.0887,34.7969,Provider,
32.070695,34.781803,Provider,
32.074182,34.769797,Provider,
32.066739,34.782168,Provider,
32.056145,34.781402,Provider,
32.057382,34.767238,Provider,
32.05419,34.79014,Provider,
32.127629,34.831681,Provider,
32.093463,34.778592,Provider,
32.065732,34.776003,Provider,
32.053555,34.753245,Provider,
32.107753,34.793926,Provider,
32.1142,34.8013,Provider,
32.06295,34.80104,Provider,
32.06439,34.80484,Provider,
32.05427,34.79701,Provider,
32.10938,34.81264,Provider,
32.05735,34.81086,Provider,
32.11729,34.80819,Provider,
32.11559,34.8155,Provider,
32.12119,34.80884,Provider,
32.12782,34.79267,Provider,
32.11067,34.8236,Provider,
32.04392,34.76331,Provider,
32.11806,34.81621,Provider,
32.04057,34.77724,Provider,
32.04523,34.75613,Provider,
32.12195,34.82085,Provider,
32.12307,34.8259,Provider,
32.03507,34.75061,Provider,
32.11874,34.8043,Provider,
32.085348,34.783269,Provider,
32.082109,34.781687,Provider,
32.0919,34.7822,Provider,
32.079074,34.783401,Provider,
32.079462,34.776901,Provider,
32.080572,34.788038,Provider,
32.093777,34.783564,Provider,
32.094346,34.776588,Provider,
32.08829,34.794266,Provider,
32.07669,34.772553,Provider,
32.098603,34.778565,Provider,
32.0986,34.7884,Provider,
32.071247,34.779381,Provider,
32.06645,34.786325,Provider,
32.068052,34.802363,Provider,
32.061717,34.767103,Provider,
32.1066,34.8043,Provider,
32.054265,34.78285,Provider,
32.0502,34.7986,Provider,
32.04795,34.778063,Provider,
32.053587,34.755045,Provider,
32.111506,34.840876,Provider,
32.083968,34.771001,Provider,
32.072323,34.790555,Provider,
32.096792,34.797362,Provider,
32.0609,34.7944,Provider,
32.056754,34.760987,Provider,
32.143248,34.79234,Provider,
32.089715,34.779953,Provider,
32.069777,34.766401,Provider,
32.0989,34.778,Provider,
32.104012,34.810347,Provider,
32.10395,34.79156,Provider,
32.05708,34.78644,Provider,
32.1079,34.81804,Provider,
32.1027,34.82318,Provider,
32.04875,34.80342,Provider,
32.11051,34.82167,Provider,
32.1236,34.80645,Provider,
32.11187,34.82824,Provider,
32.11651,34.82633,Provider,
32.11763,34.82679,Provider,
32.13533,34.79675,Provider,
32.03056,34.74919,Provider,
32.080738,34.77968,Provider,
32.077777,34.778636,Provider,
32.093871,34.785879,Provider,
32.09511,34.77792,Provider,
32.069539,34.773371,Provider
